"UNSPSC_v5_0301";"Translation_German_5_0301";"English_Titles_ 5_0301"
"26101747";"Drehstange";"Push rods"
"26101748";"Motor Schwungrad";"Engine flywheel"
"26101749";"Kurbelwelle";"Crankshaft"
"26101750";"Drosselklappe";"Throttle"
"26101751";"Elektronische Motorkontrolle";"Electronic engine controls"
"26101752";"Brennstoff Spritzungsschnauze";"Fuel injection nozzle"
"26101753";"Zylinder Block";"Cylinder block"
"26101800";"Motor Komponenten";"Motor components"
"26101801";"Motor Brüsten";"Motor brushes"
"26101802";"Ankern";"Armatures"
"26101803";"Rotoren oder Statoren";"Rotors or stators"
"26110000";"Batterien und Generatoren und Kinetik Energie Übertragung";"Batteries and generators and kinetic power transmission"
"26111500";"Kinetik Energie Übertragung";"Kinetic power transmission"
"26111501";"Stromwender";"Commutators"
"26111503";"Regulierbare Geschwindigkeitstreibe";"Adjustable speed drives"
"26111504";"Riementreibe";"Belt drives"
"26111505";"Kettentreibe";"Chain drives"
"26111506";"Linear Bewegungsgeräte";"Linear motion devices"
"26111508";"Stromabläufe";"Power take offs"
"26111509";"Übermittlungsjoch(Bügel)";"Transmission yokes"
"26111510";"Übermittlungsschaften";"Transmission shafts"
"26111511";"Universale Gelenke";"Universal joints"
"26111512";"Achsen";"Axles"
"26111513";"Energie Übermittlungsketten";"Power transmission chains"
"26111514";"Knöchelgelenke";"Knuckle joints"
"26111515";"Folgeregler";"Servo controller"
"26111516";"Schritttreib oder Schrittertreib oder Schrittmotor";"Step drive or stepper drive or step indexer"
"26111517";"Planetträger";"Planet carrier"
"26111518";"Spannung Strebe";"Tension strut"
"26111519";"Drehmoment Umsetzern";"Torque converters"
"26111520";"Drehzapfen";"Trunnions"
"26111600";"Energie Generatoren";"Power generators"
"26111601";"Diesel Generatoren";"Diesel generators"
"26111602";"Hydro-elektrische Generatoren";"Hydro electric generators"
"26111603";"Luft Generatoren";"Wind generators"
"26111604";"Gas Generatoren";"Gas generators"
"26111605";"Sonnenenergieerzueger";"Thermal generators"
"26111606";"Hydraulische Generatoren";"Hydraulic generators"
"26111607";"Solar Generatoren";"Solar generators"
"26111700";"Batterien und Zubehöre";"Batteries and accessories"
"26111701";"Wiederaufladbare Batterien";"Rechargeable batteries"
"26111702";"Alkalische Batterien";"Alkaline batteries"
"26111703";"Fahrzeug Batterien";"Vehicle batteries"
"26111704";"Batterien Lader";"Battery chargers"
"26111705";"Trocken Zelle Batterien";"Dry cell batteries"
"26111706";"Elektronische Batterien";"Electronic batteries"
"26111707";"Blei-Säure Batterien";"Lead acid batteries"
"26111708";"Nickel-Eisen Batterien";"Nickel iron batteries"
"26111709";"Nickel-Kadmium Batterien";"Nickel cadmium batteries"
"26111710";"Produkt spezifische Batteriepaketen";"Product specific battery packs"
"26111711";"Lithium Batterien";"Lithium batteries"
"26111712";"Nickel-Wasserstoff Batterien";"Nickel hydrogen batteries"
"26111713";"Thermische-Batterien";"Thermal batteries"
"26111714";"Zync Luft";"Zync air"
"26111715";"Zink-Kohl Batterien";"Zinc coal battery"
"26111800";"Treibriemen";"Drive belts"
"26111801";"V-Gürtel";"V belts"
"26111802";"Anpassende Zeit-Gürtel";"Geared timing belts"
"26111803";"Kreis-Gürtel";"Round belts"
"26111804";"Flach-Gürtel";"Flat belts"
"26111900";"Kupplungen";"Clutches"
"26111901";"Platte Kupplung";"Plate clutches"
"26111902";"Kupplung";"Diaphragm clutch"
"26111903";"Zentrifugal Kupplung";"Centrifugal clutch"
"26111904";"Semi-Zentrifugal Kupplung";"Semi centrifugal clutch"
"26111905";"Freie-Rad Kupplung";"Free wheel clutch"
"26111906";"Drehmoment Umsetzer";"Torque converter"
"26111907";"Fluß Kupplung";"Fluid coupling"
"26112000";"Kupplungteile und Zubehöre";"Clutch parts and accessories"
"26112001";"Druck Platte";"Pressure plate"
"26112002";"Getreibte Platte";"Driven plate"
"26112003";"Kupplungplatten";"Clutch plates"
"26120000";"Elektrische Draht, Kabel und Gurt";"Electrical wire and cable and harness"
"26121500";"Elektrische Draht";"Electrical wire"
"26121501";"Heizungsdraht";"Heating wire"
"26121505";"Veranstaltungsdraht";"Fixture wire"
"26121507";"Draht vom Radio oder Fernseher ";"Radio or television wire"
"26121508";"Draht vom Automotiv oder Flugzeug";"Automotive or aircraft wire"
"26121509";"Magnet Draht";"Magnet wire"
"26121510";"Handwagendraht";"Trolley wire"
"26121514";"Unterirdische Draht";"Underground wire"
"26121515";"Silikon Asbest (SA) Draht";"Silicon asbestos (SA) wire"
"26121517";"Kupfer Draht";"Copper wire"
"26121519";"Kupfer gekleidet Aluminium Draht";"Copper clad aluminum wire"
"26121520";"Kupfer-Stahl Draht";"Copper steel wire"
"26121521";"Bronze Draht";"Bronze wire"
"26121522";"Nackte Draht";"Bare wire"
"26121523";"Gedeckt aber nicht isolierte Draht";"Covered but not insulated wire"
"26121524";"Isoliert oder gedeckte Draht";"Insulated or covered wire"
"26121532";"Zwischen verbindete Draht";"Inter connect wire"
"26121533";"Draht";"Kaptan wire"
"26121534";"Polymid Draht";"Polymide wire"
"26121536";"Verlängerungskabel";"Extension cord"
"26121600";"Elektrische Kabel";"Electrical cable"
"26121601";"Heizungskabel";"Heating cable"
"26121602";"Submarinekabel";"Submarine cable"
"26121603";"Kontrollkabel";"Control cable"
"26121604";"Signalkabel";"Signal cable"
"26121605";"Automotiv oder Flugzeugkabel";"Automotive or aircraft cable"
"26121606";"Coaxial Kabel";"Coaxial cable"
"26121607";"Fiber optikkabel";"Fiber optic cable"
"26121608";"Aerialkabel";"Aerial cable"
"26121609";"Netzwerkkabel";"Network cable"
"26121610";"Bronzekabel";"Bronze cable"
"26121611";"Nackte Kabel";"Bare cable"
"26121612";"Gedeckt aber nicht isolierte Kabel";"Covered but not insulated cable"
"26121613";"Isoliert oder gedeckte Kabel";"Insulated or covered cable"
"26121614";"Baukabel";"Building cable"
"26121615";"Energiekabel für direkt Beerdigung";"Power cable for direct burial"
"26121616";"Telekommunikationskabel";"Telecommunications cable"
"26121617";"Triaxle Kabel";"Triaxial cable"
"26121618";"Kreuzverbindete polykaen Kabel";"Crosslinked polykaene cable"
"26121619";"Floropolymer Kabel";"Floropolymer cable"
"26121620";"Zwischen verbindete Kabel";"Inter connect cable"
"26121621";"Kaptan Kabel";"Kaptan cable"
"26121622";"Polymid Kabel";"Polymide cable"
"26121623";"Radio Frequenz (RQ) Kabel";"Radio frequency (RF) cable"
"26121624";"Band oder Flach Kabel";"Ribbon or flat cable"
"26121700";"Verdrahtungsgurt";"Wiring harness"
"26121701";"Tafelleitungsgurt";"Panel wiring harness"
"26121702";"Fernkabelnetz";"Trunk wiring harness"
"26121703";"Kommunikationverdrahtungsgurt";"Communication wiring harness"
"26121704";"Spezialitätverdrahtungsgurt";"Specialty wiring harness"
"26130000";"Energie Generation(Erzeugung)";"Power generation"
"26131500";"Energiewerke";"Power plants"
"26131501";"Diesel Energiewerke";"Diesel power plants"
"26131502";"Geothermische Energiewerke";"Geothermal power plants"
"26131503";"Hydro Energiewerke";"Hydro power plants"
"26131504";"Gas Energiewerke";"Gas power plants"
"26131505";"Marine Energiewerke";"Marine power plants"
"26131506";"Benzin Energiewerke";"Petrol power plants"
"26131507";"SolarEnergiewerke";"Solar power plants"
"26131508";"Dampf Energiewerke";"Steam power plants"
"26131509";"Luft Energiewerke";"Wind power plants"
"26131510";"Thermo Energiewerke";"Thermal power plants"
"26140000";"Atom und Nuklear Energie Maschinen und Vorrichtung";"Atomic and nuclear energy machinery and equipment"
"26141600";"Subkritische Montagevorrichtung";"Subcritical assembly equipment"
"26141601";"Subkritische Montagebrennstoff";"Subcritical assembly fuel"
"26141602";"Subkritische Montagekomponenten";"Subcritical assembly components"
"26141603";"Subkritische Montagemoderator";"Subcritical assembly moderator"
"26141700";"Dosimetrie Vorrichtung";"Dosimetry equipment"
"26141701";"Ionization Kammer Dosimeter";"Ionization chamber dosimeters"
"26141702";"Dosimetern";"Dosimeters"
"26141703";"Sekundär Standarte Dosimetrie Systemen";"Secondary standard dosimetry systems"
"26141704";"Phantom Dosimetern";"Phantom dosimeters"
"26141800";"Heiz Zellegeräte";"Hot cell devices"
"26141801";"Heiz Zelle entfernte Behandlungsgeräte";"Hot cell remote handling equipment"
"26141802";"Heiz Zelle entfernte Besichtigungsgeräte";"Hot cell remote viewing device"
"26141803";"Heiz Zelle Deckungstüren";"Hot cell shielding doors"
"26141804";"Heiz Zelle Prober";"Hot cell samplers"
"26141805";"Heiz Zelle Muster Verarbeitungsgeräte";"Hot cell sample processing equipment"
"26141806";"Heiz Zelle spezialle Geräte";"Hot cell special tools"
"26141807";"Heiz Zelle Bleiglasfenster";"Hot cell lead glass windows"
"26141808";"Heiz Zelle Decontaminierungssystemen";"Hot cell decontamination systems"
"26141809";"Heiz Zelle Durcheindringungsgeräte";"Hot cell penetration devices"
"26141900";"Industrielle nukleonische Werkzeuge";"Industrial nucleonic instruments"
"26141901";"Industrielle nukleonische im Flugzeug beförderte Staub Messungsystemen";"Industrial nucleonic airborne dust measuring systems"
"26141902";"Industrielle nukleonische Dichtheitmessungsystemen";"Beta gauge measuring systems"
"26141904";"Industrielle nukleonische";"Industrial nucleonic liquid level gauges"
"26141905";"Industrielle nukleonische Masse per Einheit Erzmessungsystemen";"Industrial nucleonic mass per unit ore measuring systems"
"26141906";"Industrielle nukleonische Feuchtigkeitmessungsystemen";"Industrial nucleonic moisture measuring systems"
"26141907";"Industrielle nukleonische Dickemessungsystemen";"Industrial nucleonic thickness measuring systems"
"26141908";"Industrielle nukleonische Flußmessungsystemen";"Industrial nucleonic flow measuring systems"
"26141909";"Isotop Verteilern";"Isotope separators"
"26141910";"Isotop Produktionseinrichtungen";"Isotope production facilities"
"26141911";"Isotop Kalibrator Aktivität Meter";"Isotope calibrator activity meters"
"26142000";"Irradiation Vorrichtung";"Irradiation equipment"
"26142001";"Irradiation Gamma Quellen";"Irradiation gamma sources"
"26142002";"Magnetsystemen";"Magnet systems"
"26142003";"NIM Nuklear electronische Einheiten";"NIM nuclear electronic units"
"26142004";"Neutron Ausstrahlern";"Neutron irradiators"
"26142005";"Ausstrahlungprüferkapseln";"Irradiation testing capsules"
"26142006";"MusterÜbermittlungsystem";"Irradiation sample transfer system"
"26142007";"Neutron Generatoren";"Neutron generators"
"26142100";"Kern Reaktor Vorrichtung";"Nuclear reactor equipment"
"26142101";"Kern Reaktor Exemplarirradiation Behälter";"Nuclear reactor specimen irradiation containers"
"26142106";"Kern Reaktor Kontroll Stangesystemen";"Nuclear reactor control rod systems"
"26142108";"Kern Reaktor Kern Neutron Fluß Instrumentation";"Nuclear reactor in core neutron flux instrumentation"
"26142117";"Kern Reaktor Erdbeben Instrumentation";"Nuclear reactor earthquake instrumentation"
"26142200";"Kern Brennstoffvorrichtung";"Nuclear fuel equipment"
"26142201";"Kern Brennstoff Verkleidungsröhre";"Nuclear fuel cladding tubes"
"26142202";"Kern Brennstoff Element Versagung Detektionssystemen";"Nuclear fuel element failure detection systems"
"26142300";"Ausstrahlung Deckungsvorrichtung";"Radiation shielding equipment"
"26142302";"Blei Leinwände";"Lead screens"
"26142303";"Film Kennzeichen";"Film badges"
"26142304";"Radiographische Vorrichtung";"Radiographic equipment"
"26142306";"Bedeckte Behälter für Schutz gegen Ausstrahlung";"Shielded containers for radiation protection"
"26142307";"Blei kammer oder Verwahrung für Schutz gegen Ausstrahlung";"Lead chambers or safes for radiation protection"
"26142308";"Blei Bausteine für Schutz gegen Ausstrahlung";"Lead bricks for radiation protection"
"26142310";"Handschuhe Schutzkasten gegen Ausstrahlung";"Glove boxes for radiation protection"
"26142311";"Ausstrahlung Schutzfenster";"Radiation shielding windows"
"26142312";"Blei für Schutz gegen Ausstrahlung";"Lead for radiation shielding"
"26142400";"Radioaktiv Abfallgeräte";"Radioactive waste equipment"
"26142401";"Radioaktiv Abfallbehandlung Vertrager oder Verbrennungssöfen";"Radioactive waste treatment compactors or incinerators"
"26142402";"Nuklear Ausstrahlung Einsaugern";"Nuclear radiation absorbers"
"26142403";"Atom Energie Verdünster,Konzentatoren oder Trockner";"Atomic energy evaporators or concentrators or dryers"
"26142404";"Tür Zwischenschließungsystem";"Door interlocking systems"
"26142405";"Radioaktiv Abfall Dosierungsystemen";"Radioactive waste dosage systems"
"26142406";"Radioaktiv Abfall Festigungsystemen";"Radioactive waste solidification systems"
"26142407";"Radioaktiv Abfall Beseitigungsystemen";"Radioactive waste disposal systems"
"26142408";"Radioaktiv Abfall Behandlungseinrichtungen";"Radioactive waste treatment facilities"
"27000000";"Werkzeuge und übliche Maschinen";"Tools and General Machinery"
"27110000";"Handgeräte";"Hand tools"
"27111500";"Schneidungs und Kräuselungs und Lochungsgeräte";"Cutting and crimping and punching tools"
"27111501";"Messerklingen";"Knife blades"
"27111502";"Rasiermesser";"Razor knives"
"27111503";"Universalmesser";"Utility knives"
"27111504";"Taschenmesser";"Pocket knives"
"27111505";"Körner, Nageltreiber oder Druckdorne";"Punches or nail sets or drifts"
"27111506";"Scheren";"Shears"
"27111507";"Blechscheren";"Metal cutters"
"27111508";"Sägen";"Saws"
"27111509";"Schneckenbohrer";"Augers"
"27111510";"Ausschalwerkzeuge";"Stripping tools"
"27111511";"Drahtschneider";"Wire cutters"
"27111512";"Bolt cutters";"Bolt cutters"
"27111513";"Schlauchschneider";"Hose cutter"
"27111600";"Formungsgeräte";"Forming tools"
"27111601";"Schlegel";"Mallets"
"27111602";"Hämmer";"Hammers"
"27111603";"Ambosse";"Anvils"
"27111604";"Beile";"Hatchets"
"27111605";"Pickel";"Picks"
"27111607";"Schmiedewerkzeuge";"Swaging tools"
"27111700";"Schraubensclüssel und Getrieber";"Wrenches and drivers"
"27111701";"Schraubendreher";"Screwdrivers"
"27111702";"Sechskant-Schraubendreher";"Nut drivers"
"27111703";"Stecknußsätze";"Socket sets"
"27111704";"Stecknüsse";"Sockets"
"27111705";"Ringschlüssel";"Box end wrenches"
"27111706";"Maulschlüssel";"Open end wrenches"
"27111707";"Universalschlüssel";"Adjustable wrenches"
"27111708";"Rohrzangen";"Pipe wrenches"
"27111709";"Schraubenausdreher";"Screw extractors"
"27111710";"Innensechskantschlüssel";"Hex keys"
"27111711";"Ratschen";"Ratchets"
"27111712";"Abzieher";"Pullers"
"27111713";"Ring-Maulschlüssel";"Combination wrenches"
"27111714";"Spezialschlüssel";"Specialty wrenches"
"27111715";"Drehmomentschlüssel";"Torque wrenches"
"27111716";"Torx-Schlüssel";"Torx keys"
"27111717";"Rohrabzieher";"Pipe extractors"
"27111718";"Gewindeabzieher";"Tap extractors"
"27111719";"Drehmomentschlüssel";"Torque wrench"
"27111800";"Meßungs und Lageplannungsgeräte ";"Measuring and layout tools"
"27111801";"Meßbänder";"Tape measures"
"27111802";"Wasserwaagen";"Levels"
"27111803";"Meßwinkel";"Squares"
"27111804";"Senkbleie";"Plumb bobs"
"27111806";"Nutenreißer";"Nail or router gauges"
"27111807";"Richtlatten";"Straight edges"
"27111808";"Zollstöcke";"Rules"
"27111809";"Schrägen";"Bevels"
"27111810";"Metallsuchgeräte";"Stud finders"
"27111811";"Taster";"Calipers"
"27111900";"Roh und Gnadengeräte";"Rough and finishing tools"
"27111901";"Flachmeißel";"Cold chisels"
"27111902";"Feilen";"Files"
"27111903";"Hobel";"Planes"
"27111904";"Raspeln";"Rasps"
"27111905";"Schleifer";"Grinders"
"27111906";"Holzmeißel";"Wood chisels"
"27111907";"Stahlbürsten";"Wire brushes"
"27111908";"Schärfungssteine oder Geräte oder Ausrüstungen";"Sharpening stones or tools or kits"
"27112000";"Gartenwerkzeuge";"Garden tools"
"27112001";"Macheten";"Machetes"
"27112002";"Spaten";"Spades"
"27112003";"Harken";"Rakes"
"27112004";"Schippen";"Shovels"
"27112005";"Äxte";"Axes"
"27112006";"Sensen";"Scythes"
"27112007";"Baumscheren oder Gartenscheren";"Secateurs or pruning shears"
"27112008";"Hacken";"Hoes"
"27112009";"Schaber";"Scrapers"
"27112010";"Gartenrechen";"Garden forks"
"27112011";"Werkzeugstiele";"Tool handles"
"27112100";"Haltungs und Festklemmungsgeräte";"Holding and clamping tools"
"27112101";"Rohrschraubstöcke";"Pipe vises"
"27112102";"Bankschraubstöcke";"Bench vises"
"27112103";"Handklemmen";"Hand clamps"
"27112104";"Zangen";"Tongs"
"27112105";"Pinzetten";"Tweezers"
"27112106";"Flachzangen für Freileitungen";"Linemans pliers"
"27112107";"Verstellbare Weithalszangen";"Adjustable widemouth pliers"
"27112108";"Nadelzangen";"Needlenose pliers"
"27112109";"Magnetwerkzeuge";"Magnetic tools"
"27112110";"Sicherungsringzangen";"Retaining ring pliers"
"27112111";"Schnabelzangen";"Alligator pliers"
"27112112";"Nut- und Federzangen";"Tongue and groove pliers"
"27112113";"Verstellbare Rohrzangen";"Slip or groove joint pliers"
"27112114";"Seitenschneider";"Diagonal cut pliers"
"27112115";"Sicherungszangen";"Locking pliers"
"27112116";"Farmerzangen";"Fence pliers"
"27112117";"Kneifzangen";"End cut pliers"
"27112118";"Drahtösen-Crimpwerkzeug";"Wire lug crimping tool"
"27112119";"Glühbirnenwechsler";"Light bulb changer"
"27112120";"Schraubzwingen";"C clamps"
"27112121";"Eckklammern";"Corner clamps"
"27112122";"Blechzangen";"Sheet metal pliers"
"27112200";"Maurer- und Betonwerkzeuge";"Masonry and concrete tools"
"27112201";"Maurerkellen";"Trowels"
"27112202";"Glättekellen";"Floats"
"27112203";"Fugenkellen";"Edgers"
"27112204";"Mörtelmischer";"Cement mixers"
"27112300";"Markierungswerkzeuge";"Marking tools"
"27112301";"Einbrenner";"Branders"
"27112302";"Ahlen";"Awls"
"27112303";"Anreißer";"Scribers"
"27112304";"Kreidezeichnungen";"Chalk lines"
"27112305";"Metall-Markierapparate oder -Halter";"Metal markers or holders"
"27112306";"Metallpressen";"Metal stamps"
"27112400";"Befestigungswerkzeuge";"Fastener setting tools"
"27112401";"Heftpistolen";"Staple guns"
"27112402";"Nietzangen";"Rivet tools"
"27112403";"Bandabroller";"Banders"
"27112404";"Verankerungswerkzeuge";"Anchor setting tools"
"27112500";"Stemm- und Biegewerkzeuge";"Prying and bending tools"
"27112501";"Rohrbiegewerkzeuge";"Pipe bending tools"
"27112502";"Brecheisen";"Pry bars"
"27112503";"Rohrbiegevorrichtung";"Conduit benders"
"27112504";"Keile";"Wedges"
"27112505";"Dichtungshaken";"Packing hooks"
"27112600";"Dichtungswerkzeuge";"Sealing tools"
"27112601";"Spachteln";"Putty knives"
"27112602";"Kittwerkzeuge";"Caulking tools"
"27112700";"Elektrowerkzeuge";"Power tools"
"27112701";"Elektrogebläse";"Power blowers"
"27112702";"Elektropuffer";"Power buffers"
"27112703";"Bohrmaschinen";"Power drills"
"27112704";"Schleifmaschinen";"Power grinders"
"27112705";"Abbruchhämmer";"Demolition hammers"
"27112706";"Hobelmaschinen";"Power planes"
"27112707";"Fräsmaschinen";"Power routers"
"27112708";"Schleifer";"Power sanders"
"27112709";"Motorsägen";"Power saws"
"27112710";"Elektroschrauber";"Power screwguns"
"27112711";"Elektro-Heftpistolen";"Power staple guns"
"27112712";"Elektroscheren";"Power trimmers"
"27112713";"Schlagschrauber";"Impact wrenches"
"27112714";"Elektro-Kittpistolen";"Power caulking guns"
"27112715";"Spanmaschinen";"Power chippers"
"27112716";"Nagelmaschinen";"Power nail guns"
"27112717";"Heißluftpistolen";"Heat guns"
"27112718";"Graviermaschinen";"Engravers"
"27112719";"Klebepistolen";"Glue guns"
"27112720";"Drehmomentwerkzeuge";"Torque tools"
"27112800";"Werkzeugzubehör";"Tool attachments and accessories"
"27112801";"Bohreinsätze";"Drill bits"
"27112802";"Sägeblätter";"Saw blades"
"27112803";"Schaftfräser";"End mills"
"27112804";"Stanzwerkzeuge oder Stanzstempel";"Stamping dies or punches"
"27112805";"Gewindeschneideisen";"Threading dies"
"27112806";"Gewindebohrer";"Threading taps"
"27112807";"Spannfutter";"Chucks"
"27112808";"Spannpatronen";"Collets"
"27112809";"Werkzeughalter";"Tool holders"
"27112810";"Gewindereparatursätze";"Thread repair kits"
"27112811";"Dorne";"Arbors"
"27112812";"Senker";"Countersinks"
"27112813";"Verlängerungsstift";"Extension pole"
"27112814";"Schraubendreher-Bits";"Screwdriver bits"
"27112815";"Sechskant-Schraubendreher-Bits";"Nut driver bits"
"27112816";"Schleifscheibe";"Abrasive disk"
"27112817";"Hilfsmittelschablonensets";"Tool template sets"
"27112900";"Spendergeräte";"Dispensing tools"
"27112901";"Abschmierpressen";"Grease guns"
"27112902";"Trichter";"Funnels"
"27113000";"Bürsten";"Brushes"
"27113001";"Drahtbürsten";"Scratch brushes"
"27113002";"Rohrbürsten";"Tube brushes"
"27113003";"Applizierbürsten";"Applicator brushes"
"27113100";"Ziehwerkzeuge";"Pulling tools"
"27113101";"Ziehseil";"Fish tape"
"27120000";"Hydraulische Maschinen und Geräte";"Hydraulic machinery and equipment"
"27121500";"Hydraulikpressen";"Hydraulic presses"
"27121501";"Pressen-Rückstellfedern";"Press return springs"
"27121600";"Hydraulikzylinder und -kolben";"Hydraulic cylinders and pistons"
"27121601";"Zylinderkolben";"Cylinder pistons"
"27121602";"Hydraulikzylinder";"Hydraulic cylinders"
"27121700";"Fittings für Hydraulikschläuche und -rohre";"Hydraulic hose and tube fittings"
"27121701";"Hydraulische Schnellverbinder";"Hydraulic quick connectors"
"27121702";"Hydraulische T-Stücke oder Kreuzverbindungen";"Hydraulic tees or crosses"
"27121703";"Ringbeschläge";"Ferrules"
"27121704";"Hydraulische Verbindungsteile";"Hydraulic unions"
"27121705";"Hydraulische oder Kompressions-Rohrkrümmer";"Hydraulic or compression elbows"
"27121706";"Ringbeschlagmuttern";"Ferrule nuts"
"27121707";"Crimpverbinder";"Crimp connectors"
"27130000";"Pneumatische Maschinen und Geräte";"Pneumatic machinery and equipment"
"27131500";"Druckluftwerkzeuge";"Pneumatic tools"
"27131501";"Pneumatik-Schlagschrauber";"Pneumatic impact wrenches"
"27131502";"Druckluftpistole";"Compressed air gun"
"27131503";"Pneumatische Schleifer";"Pneumatic grinders"
"27131600";"Druckluftbeschläge und -verbindungen";"Air fittings and connectors"
"27131601";"Druckluftverteiler";"Air manifolds"
"27131603";"Regler";"Pneumatic regulators"
"27131604";"Schmiernippel";"Pneumatic lubricators"
"27131605";"Luftvorhang";"Air curtain"
"27131606";"Pneumatische Zylinder";"Pneumatic cylinders"
"27131607";"Pneumatische Kolben";"Pneumatic pistons"
"30000000";"Strukturen und Bau Herstellungkomponenten und Versorgungen";"Structures and Building and Construction and Manufacturing Components and Supplies"
"30100000";"Strukturische Stoffe und Grundformen";"Structural materials and basic shapes"
"30101500";"Winkeln";"Angles"
"30101501";"Winkeln aus Eisenlegierungen";"Ferrous alloy angles"
"30101502";"Winkeln aus Nichteisenlegierungen";"Non ferrous alloy angles"
"30101503";"Winkeln aus Eisen";"Iron angles"
"30101504";"Winkeln aus Stahl";"Steel angles"
"30101505";"Winkeln aus Rostfreistahl";"Stainless steel angles"
"30101506";"Winkeln aus Aluminum";"Aluminum angles"
"30101507";"Winkeln aus Magnesium";"Magnesium angles"
"30101508";"Winkeln aus Titanium";"Titanium angles"
"30101509";"Winkeln aus Kupfer";"Copper angles"
"30101510";"Winkeln aus Blech";"Brass angles"
"30101511";"Winkeln aus Bronze";"Bronze angles"
"30101512";"Winkeln aus Zink";"Zinc angles"
"30101513";"Winkeln aus Zinn";"Tin angles"
"30101514";"Winkeln aus Blei";"Lead angles"
"30101515";"Winkeln aus Plastik";"Plastic angles"
"30101516";"Winkeln aus Gummi";"Rubber angles"
"30101517";"Winkeln aus Edelsteine";"Precious metal angles"
"30101600";"Stange";"Bar"
"30101601";"Stangen aus Eisenlegierungen";"Ferrous alloy bars"
"30101602";"Stangen aus Nichteisenlegierungen";"Non ferrous alloy bars"
"30101603";"Stangen aus Eisen";"Iron bars"
"30101604";"Stangen aus Stahl";"Steel bars"
"30101605";"Stangen aus Rostfreistahl";"Stainless steel bars"
"30101606";"Stangen aus Aluminum";"Aluminum bars"
"30101607";"Stangen aus Magnesium";"Magnesium bars"
"30101608";"Stangen aus Titan";"Titanium bars"
"30101609";"Stangen aus Kupfer";"Copper bars"
"30101610";"Stangen aus Blech";"Brass bars"
"30101611";"Stangen aus Bronze";"Bronze bars"
"30101612";"Stangen aus Zink";"Zinc bars"
"30101613";"Stangen aus Zinn";"Tin bars"
"30101614";"Stangen aus Blei";"Lead bars"
"30101615";"Stangen aus Plastik";"Plastic bars"
"30101616";"Stangen aus Edelmetalle";"Precious metal bars"
"30101700";"Balken";"Beams"
"30101701";"Balken aus Eisenlegierungen";"Ferrous alloy beams"
"30101702";"Balken aus Nichteisenlegierungen";"Non ferrous alloy beams"
"30101703";"Balken aus Eisen";"Iron beams"
"30101704";"Balken aus Stahl";"Steel beams"
"30101705";"Balken aus Rostfreistahl";"Stainless steel beams"
"30101706";"Balken aus Aluminum";"Aluminum beams"
"30101707";"Balken aus Magnesium";"Magnesium beams"
"30101708";"Balken aus Titan";"Titanium beams"
"30101709";"Balken aus Kupfer";"Copper beams"
"30101710";"Balken aus Blech";"Brass beams"
"30101711";"Balken aus Bronze";"Bronze beams"
"30101712";"Balken aus Zink";"Zinc beams"
"30101713";"Balken aus Zinn";"Tin beams"
"30101714";"Balken aus Blei";"Lead beams"
"30101715";"Balken aus Plastik";"Plastic beams"
"30101716";"Balken aus Gummi";"Rubber beams"
"30101717";"Balken aus Beton";"Concrete beams"
"30101718";"Balken aus Edelmetalle";"Precious metal beams"
"30101800";"Kanäle";"Channels"
"30101801";"Kanäle aus Eisenlegierungen";"Ferrous alloy channels"
"30101802";"Kanäle aus Nichteisenlegierungen";"Non ferrous alloy channels"
"30101803";"Kanäle aus Eisen";"Iron channels"
"30101804";"Kanäle aus Stahl";"Steel channels"
"30101805";"Kanäle aus Rostfreistahl";"Stainless steel channels"
"30101806";"Kanäle aus Aluminum";"Aluminum channels"
"30101807";"Kanäle aus Magnesium";"Magnesium channels"
"30101808";"Kanäle aus Titan";"Titanium channels"
"30101809";"Kanäle aus Kupfer";"Copper channels"
"30101810";"Kanäle aus Blech";"Brass channels"
"30101811";"Kanäle aus Bronze";"Bronze channels"
"30101812";"Kanäle aus Zink";"Zinc channels"
"30101813";"Kanäle aus Zinn";"Tin channels"
"30101814";"Kanäle aus Blei";"Lead channels"
"30101815";"Kanäle aus Plastik";"Plastic channels"
"30101816";"Kanäle aus Gummi";"Rubber channels"
"30101817";"Kanäle aus Edelsteine";"Precious metal channels"
"30101900";"Spirale";"Coil"
"30101901";"Spirale aus Eisenlegierungen";"Ferrous alloy coil"
"30101902";"Spirale aus Nichteisenlegierungen";"Non ferrous alloy coil"
"30101903";"Spirale aus Eisen";"Iron coil"
"30101904";"Spirale aus Stahl";"Steel coil"
"30101905";"Spirale aus Rostfreistahl";"Stainless steel coil"
"30101906";"Spirale aus Aluminum";"Aluminum coil"
"30101907";"Spirale aus Magnesium";"Magnesium coil"
"30101908";"Spirale aus Titan";"Titanium coil"
"30101909";"Spirale aus Kupfer";"Copper coil"
"30101910";"Spirale aus Blech";"Brass coil"
"30101911";"Spirale aus Bronze";"Bronze coil"
"30101912";"Spirale aus Zink";"Zinc coil"
"30101913";"Spirale aus Zinn";"Tin coil"
"30101914";"Spirale aus Blei";"Lead coil"
"30101915";"Spirale aus Plastik";"Plastic coil"
"30101916";"Spiralen aus Edelsteine";"Precious metal coils"
"30101917";"Unmetallische Spiralen";"Non metallic coils"
"30101918";"Perforierte Stahl";"Perforated steel"
"30101919";"Prägestahl";"Embossed steel"
"30101920";"Druckfiberspirale";"Compressed fiber coil"
"30101921";"Fiber und Gummi Spirale";"Fiber and rubber coil"
